language,Genres,voted_up,total_votes,vote_up_rate
brazilian,Indie,5535,5885,0.9405267629566695
brazilian,Early Access,956,1049,0.9113441372735939
brazilian,Strategy,1691,1890,0.8947089947089947
czech,Adventure,286,311,0.9196141479099679
czech,Action,406,451,0.9002217294900222
english,Photo Editing,440,459,0.9586056644880174
english,Animation & Modeling,1118,1257,0.8894192521877486
english,Video Production,602,689,0.8737300435413643
french,Indie,1862,2023,0.9204152249134948
french,Early Access,436,493,0.8843813387423936
french,RPG,1337,1512,0.8842592592592593
german,Indie,1944,2258,0.8609388839681134
german,Early Access,516,607,0.8500823723228995
german,RPG,1413,1733,0.8153491055972303
italian,Indie,401,421,0.9524940617577197
italian,RPG,353,378,0.9338624338624338
italian,Adventure,481,516,0.9321705426356589
japanese,Indie,2957,3206,0.922333125389894
japanese,Strategy,1345,1493,0.9008707300736771
japanese,Simulation,1651,1837,0.8987479586281981
koreana,Indie,4628,5139,0.9005643121229812
koreana,Simulation,2625,2968,0.8844339622641509
koreana,Early Access,849,968,0.8770661157024794
latam,Indie,435,445,0.9775280898876404
latam,RPG,315,337,0.9347181008902077
latam,Adventure,511,557,0.9174147217235189
polish,Indie,1559,1629,0.9570288520564764
polish,Early Access,346,365,0.947945205479452
polish,Adventure,1463,1571,0.9312539783577339
russian,Utilities,500,512,0.9765625
russian,Animation & Modeling,441,453,0.9735099337748344
russian,Design & Illustration,402,414,0.9710144927536232
schinese,Video Production,357,380,0.9394736842105263
schinese,Photo Editing,747,800,0.93375
schinese,Design & Illustration,1117,1199,0.9316096747289407
spanish,Indie,6307,6550,0.9629007633587786
spanish,Early Access,1202,1260,0.953968253968254
spanish,Racing,390,421,0.9263657957244655
tchinese,Indie,1815,1989,0.9125188536953243
tchinese,Strategy,840,955,0.8795811518324608
tchinese,Simulation,1025,1175,0.8723404255319149
thai,Indie,321,348,0.9224137931034483
thai,Adventure,366,420,0.8714285714285714
thai,Action,457,538,0.8494423791821561
turkish,Early Access,1057,1124,0.9403914590747331
turkish,Indie,4380,4803,0.9119300437226733
turkish,Racing,494,546,0.9047619047619048
ukrainian,Indie,684,740,0.9243243243243243
ukrainian,RPG,610,679,0.898379970544919
ukrainian,Adventure,907,1041,0.8712776176753122
